time,open,high,low,close,tick_volume
1773082800,5099.66,5110.71,5094.85,5104.72,30059
1773086400,5104.72,5106.87,5089.07,5095.99,29440
1773090000,5095.99,5126.48,5092.55,5123.31,25696
1773093600,5123.37,5144.05,5118.54,5141.12,35445
1773097200,5141.1,5148.06,5134.26,5137.41,17347
1773104400,5145.26,5153.05,5117.8,5152.89,23218
1773108000,5153.07,5156.06,5135.72,5139.72,22457
1773111600,5139.55,5141.3,5125.03,5131.05,26521
1773115200,5131.05,5186.16,5124.7,5184.28,37080
1773118800,5184.29,5186.99,5163.92,5166.02,29247
1773122400,5166.02,5173.43,5155.82,5157.67,24972
1773126000,5157.63,5166.57,5154.4,5163.89,16847
1773129600,5163.89,5179.3,5163.88,5177.93,20779
1773133200,5177.95,5180.91,5171.94,5175.19,22454
1773136800,5175.18,5181.32,5158.62,5181.05,24858
1773140400,5181.06,5195.21,5175.12,5183.52,25885
1773144000,5183.55,5189.43,5180.63,5182.65,21840
1773147600,5182.65,5183.96,5156.57,5177.29,27254
1773151200,5177.29,5191.95,5171.91,5175.17,26963
1773154800,5175.17,5189.49,5162.46,5187.04,28224
1773158400,5187.03,5228.81,5186.04,5205.62,37349
1773162000,5205.61,5214.41,5185.43,5206.81,34161
1773165600,5206.8,5238.56,5203.33,5228.69,30027
1773169200,5228.83,5235.53,5222.74,5227.71,26104
1773172800,5227.69,5235.46,5223.73,5227.69,28307
1773176400,5227.73,5228.01,5160.98,5191.74,37324
1773180000,5191.85,5207.62,5179.98,5198.84,33338
1773183600,5198.74,5199.04,5191.84,5192.76,13276
1773190800,5191.29,5197.75,5183.35,5189.29,16201
1773194400,5189.29,5197.35,5187.76,5197.3,13155
1773198000,5197.3,5219.44,5186.93,5215.5,22120
1773201600,5215.51,5223.15,5208.61,5208.65,28286
1773205200,5208.66,5220.51,5194.19,5217.37,24724
1773208800,5217.28,5220.46,5199.4,5203.37,19240
1773212400,5203.37,5208.65,5199.56,5204.51,13256
1773216000,5204.46,5208.26,5190.99,5199.73,21283
1773219600,5199.74,5210.83,5191.59,5197.67,23989
1773223200,5197.67,5202.23,5184.68,5195.81,22436
1773226800,5195.81,5198.74,5175.54,5187.63,22174
1773230400,5187.63,5197.19,5179.79,5187.77,20361
1773234000,5187.77,5195.34,5177.21,5186.12,19246
1773237600,5186.11,5193.59,5175.74,5181.3,20453
1773241200,5181.28,5196.48,5166.74,5167.6,28949
1773244800,5167.61,5183.08,5149.35,5176.92,36008
1773248400,5176.92,5196.29,5174.48,5183.27,36596
1773252000,5183.29,5185.87,5164.24,5166.39,33206
1773255600,5166.39,5178.02,5163.75,5175.71,29690
1773259200,5175.71,5181.05,5154.87,5169.92,28267
1773262800,5169.81,5178.37,5169.27,5172.61,21822
1773266400,5172.61,5183.62,5169.32,5183.31,19658
1773270000,5183.22,5183.6,5175.25,5177.21,9697
1773277200,5178.88,5183.51,5129.77,5139.06,18839
1773280800,5139.05,5157.96,5133.09,5134.32,22762
1773284400,5134.3,5161.59,5125.52,5152.96,25640
1773288000,5153.0,5172.92,5151.56,5168.65,29941
1773291600,5168.48,5175.21,5145.74,5150.67,26928
1773295200,5150.65,5155.62,5147.37,5153.2,21295
1773298800,5153.17,5153.97,5140.57,5142.66,14421
1773302400,5142.65,5157.72,5137.25,5154.54,22265
1773306000,5154.54,5170.31,5147.31,5166.24,22376
1773309600,5166.25,5185.16,5164.54,5182.2,17961
1773313200,5182.39,5189.8,5176.02,5178.18,19291
1773316800,5178.18,5190.43,5174.46,5188.35,19163
1773320400,5188.34,5191.74,5176.31,5182.39,18481
1773324000,5182.4,5183.9,5172.84,5179.04,17075
1773327600,5179.03,5185.58,5163.9,5181.48,26837
1773331200,5181.47,5186.16,5146.17,5151.38,37660
1773334800,5151.4,5163.65,5138.42,5142.95,37037
1773338400,5142.95,5144.91,5109.69,5132.39,37124
1773342000,5132.37,5138.06,5121.35,5123.46,32962
1773345600,5123.31,5129.6,5102.61,5105.31,32378
1773349200,5105.33,5112.59,5090.93,5094.41,28684
1773352800,5094.37,5096.87,5079.58,5084.72,29421
1773356400,5084.86,5090.56,5055.11,5079.78,21422
1773363600,5081.86,5095.98,5073.03,5095.87,17630
1773367200,5095.97,5101.32,5089.0,5098.12,16664
1773370800,5098.1,5115.34,5097.41,5113.75,17414
1773374400,5113.75,5124.27,5108.89,5124.24,26240
1773378000,5124.22,5128.46,5110.47,5112.07,22186
1773381600,5112.05,5116.78,5106.39,5115.68,19420
1773385200,5115.68,5117.98,5102.73,5104.37,14574
1773388800,5104.48,5111.0,5098.27,5103.08,21217
1773392400,5103.09,5107.78,5085.85,5088.26,28585
1773396000,5088.24,5094.22,5071.76,5085.21,23883
1773399600,5085.22,5088.03,5061.61,5087.54,25881
1773403200,5087.43,5097.12,5083.35,5089.71,21273
1773406800,5089.72,5098.36,5080.02,5094.91,20335
1773410400,5094.91,5107.8,5086.34,5107.62,20514
1773414000,5107.63,5121.87,5104.45,5118.33,28219
1773417600,5118.32,5121.22,5096.68,5101.86,32889
1773421200,5101.75,5107.97,5036.05,5041.77,38737
1773424800,5041.64,5071.39,5032.17,5034.81,39144
1773428400,5034.5,5053.0,5019.09,5046.02,37128
1773432000,5046.01,5063.85,5043.47,5046.38,33719
1773435600,5046.38,5051.72,5036.18,5046.44,28987
1773439200,5046.45,5049.86,5009.73,5016.51,30560
1773442800,5016.99,5025.46,5012.43,5018.75,17834
1773622800,4999.23,5030.54,4999.19,5025.01,23813
1773626400,5024.99,5026.21,4967.67,4997.57,32352
1773630000,4997.6,5030.86,4996.85,5025.78,27783
1773633600,5025.89,5026.53,4982.7,5016.08,38838
1773637200,5016.07,5018.83,4997.95,5003.57,28922
1773640800,5003.57,5020.69,4998.13,5019.23,22668
1773644400,5019.23,5026.26,5012.49,5012.86,15206
1773648000,5012.83,5020.05,5003.26,5017.41,21438
1773651600,5017.38,5035.99,5005.5,5012.23,25985
1773655200,5012.24,5016.43,4991.95,4995.5,22762
1773658800,4995.62,5003.54,4985.04,4991.18,24892
1773662400,4991.21,4991.66,4972.69,4975.38,22802
1773666000,4975.37,4999.5,4970.22,4998.77,23319
1773669600,4998.78,5022.67,4992.9,4997.08,22668
1773673200,4997.09,5025.02,4994.47,5019.93,25986
1773676800,5019.94,5034.33,5013.94,5029.83,32029
1773680400,5029.82,5037.96,4987.99,4996.09,34731
1773684000,4996.04,5005.72,4983.94,4987.05,29378
1773687600,4987.04,4998.83,4974.11,4990.45,29288
1773691200,4990.46,5003.89,4984.05,4991.28,26700
1773694800,4991.31,5017.79,4990.04,5012.71,23418
1773698400,5012.69,5020.26,5008.14,5012.96,23210
1773702000,5012.96,5021.62,5004.75,5006.44,10358
1773709200,5007.86,5016.02,4998.61,5002.32,13787
1773712800,5002.32,5015.58,5002.06,5012.89,12038
1773716400,5012.87,5014.13,4998.21,5002.95,19880
1773720000,5002.98,5027.92,4994.87,5027.83,27356
1773723600,5027.82,5029.76,5019.96,5022.6,21586
1773727200,5022.59,5033.58,5020.61,5027.6,17954
1773730800,5027.61,5041.94,5026.31,5037.94,15920
1773734400,5037.96,5044.57,5020.15,5020.79,22393
1773738000,5020.84,5022.84,5005.16,5009.93,25690
1773741600,5009.91,5028.07,5008.99,5021.27,17118
1773745200,5021.26,5029.65,5018.51,5024.81,18764
1773748800,5024.81,5025.91,5010.11,5010.6,17896
1773752400,5010.52,5016.51,4992.14,5000.27,20967
1773756000,5000.23,5011.47,4996.75,5003.32,16070
1773759600,5003.31,5023.9,4999.44,5011.78,22236
1773763200,5011.78,5031.49,5005.6,5016.65,30836
1773766800,5016.65,5020.56,5002.96,5007.68,31410
1773770400,5007.68,5017.54,4973.61,4997.8,32611
1773774000,4997.84,5005.85,4991.59,5002.0,27644
1773777600,5001.9,5008.72,4996.47,5002.46,21516
1773781200,5002.47,5009.02,4999.78,5003.79,17219
1773784800,5003.76,5005.61,4996.46,5000.28,20325
1773788400,5000.32,5006.4,4999.93,5003.43,8553
1773795600,5005.62,5005.79,4993.36,4999.9,8949
1773799200,4999.92,5003.83,4998.87,5002.97,7323
1773802800,5002.93,5012.36,5000.2,5004.24,14821
1773806400,5004.24,5015.85,4991.38,4998.65,24844
1773810000,4998.83,5007.02,4990.58,4991.98,21044
1773813600,4992.01,4997.67,4986.22,4991.28,18838
1773817200,4991.26,4993.58,4981.86,4987.06,14042
1773820800,4987.06,5002.61,4984.74,4997.67,19857
1773824400,4997.68,5016.34,4996.42,5009.37,20693
1773828000,5009.38,5014.9,4990.41,4995.05,15599
1773831600,4994.9,4996.9,4977.42,4987.58,19579
1773835200,4987.57,4995.65,4984.83,4992.18,14781
1773838800,4992.18,4992.21,4959.01,4967.96,19758
1773842400,4967.95,4974.01,4925.08,4930.22,30615
1773846000,4930.2,4932.48,4870.9,4881.57,37030
1773849600,4881.52,4885.45,4834.28,4878.27,43413
1773853200,4878.29,4894.62,4856.73,4869.57,36886
1773856800,4869.58,4880.0,4861.19,4862.46,29939
1773860400,4862.44,4890.33,4860.96,4886.89,27276
1773864000,4886.88,4899.02,4883.9,4891.0,26583
1773867600,4891.14,4899.24,4852.4,4852.96,36191
1773871200,4852.98,4865.25,4838.33,4843.11,34918
1773874800,4843.04,4848.61,4806.97,4818.67,23356
1773882000,4831.58,4839.01,4804.41,4834.59,26418
1773885600,4834.59,4842.6,4828.3,4836.71,19242
1773889200,4836.69,4848.78,4835.33,4841.34,22677
1773892800,4841.35,4867.23,4832.99,4849.98,31719
1773896400,4849.99,4862.06,4841.78,4858.8,25873
1773900000,4858.79,4866.14,4850.85,4850.89,19843
1773903600,4850.87,4853.67,4845.8,4849.82,15364
1773907200,4849.81,4853.84,4827.08,4827.57,24380
1773910800,4827.57,4842.29,4747.87,4763.8,37256
1773914400,4763.83,4784.33,4727.44,4728.03,31310
1773918000,4728.04,4740.36,4686.85,4709.18,38397
1773921600,4709.24,4725.87,4687.78,4698.95,38193
1773925200,4698.93,4719.89,4666.67,4679.15,34144
1773928800,4679.16,4699.76,4650.87,4651.78,33608
1773932400,4651.7,4653.9,4531.6,4574.33,43642
1773936000,4574.34,4621.3,4502.6,4621.11,50828
1773939600,4621.0,4649.13,4581.18,4601.85,48547
1773943200,4601.53,4638.64,4566.27,4596.46,44844
1773946800,4596.42,4626.49,4576.84,4584.94,42672
1773950400,4584.89,4629.87,4573.9,4616.17,39293
1773954000,4616.17,4623.13,4596.22,4623.0,34291
1773957600,4623.0,4663.28,4623.0,4643.72,43529
1773961200,4643.65,4661.99,4642.86,4657.69,19641
1773968400,4653.26,4677.1,4636.23,4636.39,22403
1773972000,4636.4,4647.9,4634.23,4643.53,18807
1773975600,4643.47,4665.07,4642.19,4648.61,22219
1773979200,4648.61,4699.49,4639.22,4677.35,36657
1773982800,4677.49,4703.67,4670.39,4698.36,28230
1773986400,4698.43,4735.74,4693.28,4725.72,27902
1773990000,4725.71,4727.62,4715.55,4721.71,15696
1773993600,4721.76,4723.6,4685.77,4688.41,27388
1773997200,4688.4,4701.08,4661.36,4669.19,33109
1774000800,4669.28,4707.93,4668.05,4706.38,22776
1774004400,4706.37,4734.77,4684.83,4693.76,27960
1774008000,4693.76,4700.47,4659.89,4667.71,26239
1774011600,4667.7,4670.11,4638.2,4645.31,30034
1774015200,4645.32,4674.29,4637.16,4671.71,28054
1774018800,4671.71,4695.61,4662.01,4678.23,34865
1774022400,4678.24,4679.39,4612.87,4616.45,44106
1774026000,4616.47,4622.53,4548.1,4564.07,48080
1774029600,4563.93,4580.32,4540.73,4553.51,43828
1774033200,4553.21,4613.86,4552.02,4583.29,41243
1774036800,4583.22,4600.6,4554.39,4573.52,40702
1774040400,4573.52,4578.48,4477.33,4499.88,41319
1774044000,4499.89,4516.64,4485.45,4501.49,43735
1774047600,4501.49,4514.68,4493.78,4498.01,24543
1774227600,4479.71,4536.3,4449.48,4498.21,31215
1774231200,4498.27,4510.78,4452.32,4464.79,32060
1774234800,4464.83,4473.29,4319.96,4354.3,44828
1774238400,4354.4,4454.26,4330.51,4387.49,48201
1774242000,4387.95,4422.03,4354.93,4360.62,42664
1774245600,4360.65,4377.92,4335.06,4352.85,36896
1774249200,4352.85,4381.95,4350.09,4367.61,29734
1774252800,4367.59,4380.18,4302.44,4310.31,38279
1774256400,4310.26,4310.35,4163.27,4220.28,48109
1774260000,4220.28,4232.59,4098.87,4204.22,49390
1774263600,4204.16,4270.58,4203.37,4251.29,45985
1774267200,4251.3,4308.34,4223.81,4253.58,42525
1774270800,4253.97,4281.81,4241.16,4269.08,39070
1774274400,4269.09,4462.49,4269.09,4379.28,50012
1774278000,4379.23,4492.61,4336.86,4478.68,50014
1774281600,4478.61,4485.34,4402.12,4454.21,50885
1774285200,4454.2,4512.9,4453.5,4461.87,50469
1774288800,4461.87,4487.04,4351.35,4364.04,50447
1774292400,4363.94,4391.67,4352.66,4375.56,49888
1774296000,4375.67,4438.85,4371.04,4426.34,45407
1774299600,4426.45,4467.05,4402.76,4449.03,42435
1774303200,4448.97,4450.64,4393.04,4397.77,42138
1774306800,4398.05,4413.04,4383.0,4406.82,23130
1774314000,4414.01,4431.43,4361.74,4426.95,27567
1774317600,4426.91,4448.37,4421.88,4441.25,26039
1774321200,4441.23,4446.67,4331.52,4364.74,40079
1774324800,4363.61,4374.35,4307.97,4322.2,46567
1774328400,4322.15,4379.39,4305.74,4366.04,43935
1774332000,4366.05,4368.24,4335.1,4347.12,35106
1774335600,4347.11,4357.27,4326.54,4333.38,29542
1774339200,4333.43,4374.22,4319.9,4347.29,39129
1774342800,4347.25,4405.17,4342.95,4402.22,40853
1774346400,4402.12,4432.69,4399.79,4417.32,38505
1774350000,4417.28,4420.91,4391.31,4411.99,38056
1774353600,4412.16,4430.91,4396.03,4426.42,32256
1774357200,4426.58,4441.71,4414.71,4438.68,30868
1774360800,4438.68,4442.04,4374.93,4408.09,37701
1774364400,4408.11,4427.5,4362.28,4378.98,40963
1774368000,4378.96,4389.89,4351.53,4381.43,47714
1774371600,4381.29,4433.51,4380.69,4416.0,48511
1774375200,4416.12,4430.94,4396.3,4411.64,45219
1774378800,4411.65,4427.52,4402.81,4421.36,39705
1774382400,4421.34,4426.38,4372.43,4388.65,44868
1774386000,4388.64,4423.42,4384.05,4389.71,40887
1774389600,4389.63,4411.42,4388.71,4400.35,33187
1774393200,4400.21,4484.18,4397.37,4476.78,33302
1774400400,4475.89,4485.31,4456.07,4484.55,26090
1774404000,4484.53,4551.63,4472.62,4546.83,30717
1774407600,4546.86,4572.06,4537.54,4563.2,32693
1774411200,4563.47,4601.05,4552.42,4594.82,34601
1774414800,4594.83,4602.58,4580.07,4583.67,30659
1774418400,4583.68,4586.23,4567.72,4570.13,24825
1774422000,4570.14,4574.58,4565.7,4572.77,16287
1774425600,4572.87,4573.34,4549.48,4555.72,26204
1774429200,4555.77,4557.02,4533.16,4545.53,29087
1774432800,4545.13,4563.24,4537.06,4539.52,25911
1774436400,4539.49,4567.79,4535.94,4556.15,31679
1774440000,4556.15,4567.64,4527.74,4551.87,29322
1774443600,4551.86,4562.44,4551.19,4558.82,25095
1774447200,4558.81,4585.42,4556.17,4578.76,26299
1774450800,4578.72,4583.71,4522.04,4544.01,37345
1774454400,4544.02,4576.37,4540.97,4544.88,41558
1774458000,4544.98,4579.28,4533.19,4567.24,42472
1774461600,4567.3,4568.91,4525.14,4559.03,40223
1774465200,4559.05,4564.94,4545.3,4555.4,37854
1774468800,4555.26,4564.05,4542.84,4550.79,33054
1774472400,4550.76,4569.03,4531.12,4538.26,32688
1774476000,4538.22,4539.57,4486.93,4530.93,36987
1774479600,4531.0,4542.12,4494.8,4505.75,20516
1774486800,4511.84,4534.6,4505.64,4517.59,23468
1774490400,4517.7,4518.16,4489.03,4498.29,23027
1774494000,4498.3,4539.32,4498.18,4535.8,28166
1774497600,4535.79,4544.44,4522.54,4535.69,33142
1774501200,4535.72,4535.83,4505.79,4508.97,29021
1774504800,4508.94,4518.92,4500.04,4516.66,25096
