open,close,dir,entry,sl,tp,exit,r,reason,hold_h,level,sigma,lambda,smc
2009-02-20 16:00,2009-02-24 16:45,buy,991.95,973.20,1030.47,973.20,-1.000,sl,45.8,3,0.01648,0.000,zone*
2009-03-19 20:00,2009-03-23 20:30,buy,957.05,937.20,995.23,937.20,-1.000,sl,44.8,3,0.01734,0.000,zone*
2009-04-13 16:00,2009-04-16 15:45,buy,896.17,881.15,928.12,881.15,-1.000,sl,68.5,3,0.01493,0.000,zone
2009-05-20 12:00,2009-05-21 18:30,buy,927.96,918.20,949.34,949.34,2.191,tp,29.8,3,0.00950,0.000,zone*
2009-08-13 20:00,2009-08-14 17:30,buy,955.57,947.05,973.49,947.05,-1.000,sl,20.5,3,0.00782,0.000,zone*
2009-09-08 12:00,2009-09-08 17:45,buy,1004.65,994.50,1026.31,994.50,-1.000,sl,6.0,3,0.00896,0.000,zone
2009-09-11 16:00,2009-09-14 10:30,buy,1008.82,994.58,1028.77,994.58,-1.000,sl,16.8,3,0.00963,0.000,zone*
2009-09-16 12:00,2009-09-18 21:45,buy,1019.29,1006.25,1041.33,1006.25,-1.000,sl,55.8,3,0.00977,0.000,zone*
2009-11-13 20:00,2009-11-16 20:00,buy,1115.78,1103.55,1142.39,1142.39,2.176,tp,22.2,3,0.00986,0.000,zone
2010-01-06 20:00,2010-01-20 16:00,buy,1136.75,1117.65,1169.73,1117.65,-1.000,sl,220.5,3,0.01305,0.000,zone*
2010-04-01 16:00,2010-04-07 16:15,buy,1124.22,1112.89,1145.47,1145.47,1.875,tp,84.8,3,0.00820,0.000,zone*
2010-04-26 01:00,2010-04-27 15:00,buy,1157.62,1146.40,1179.62,1146.40,-1.000,sl,36.2,3,0.00812,0.000,zone*
2010-04-30 16:00,2010-05-05 03:15,buy,1179.49,1166.60,1201.06,1166.60,-1.000,sl,53.5,3,0.00827,0.000,zone*
2010-07-30 20:00,2010-08-06 15:00,buy,1180.48,1167.80,1207.32,1207.32,2.116,tp,105.2,3,0.00948,0.000,zone
2010-08-12 16:00,2010-08-25 10:45,buy,1212.94,1197.85,1237.68,1237.68,1.639,tp,193.0,3,0.00931,0.000,zone*
2010-10-05 12:00,2010-10-06 06:30,buy,1325.51,1314.95,1346.90,1346.90,2.025,tp,16.8,3,0.00681,0.000,zone*
2010-12-03 16:00,2010-12-08 14:00,buy,1402.93,1384.65,1443.14,1384.65,-1.000,sl,65.5,3,0.01183,0.000,zone*
2010-12-14 08:00,2010-12-15 14:30,buy,1404.65,1385.70,1433.20,1385.70,-1.000,sl,29.5,3,0.00960,0.000,zone*
2011-02-03 20:00,2011-02-16 18:00,buy,1351.18,1334.82,1378.40,1378.40,1.664,tp,196.2,3,0.00915,0.000,zone*
2011-02-23 20:00,2011-02-24 21:00,buy,1411.78,1398.78,1437.93,1398.78,-1.000,sl,23.2,3,0.00784,0.000,zone*
2011-03-01 16:00,2011-03-03 21:00,buy,1423.12,1411.12,1443.10,1411.12,-1.000,sl,49.2,3,0.00635,0.000,zone*
2011-03-04 16:00,2011-03-10 15:30,buy,1425.93,1415.70,1444.98,1415.70,-1.000,sl,88.0,3,0.00579,0.000,zone*
2011-03-11 20:00,2011-03-15 05:00,buy,1423.16,1411.45,1443.62,1411.45,-1.000,sl,29.2,3,0.00638,0.000,zone
2011-03-18 08:00,2011-03-23 15:30,buy,1413.09,1402.10,1438.11,1438.11,2.277,tp,71.0,3,0.00719,0.000,zone*
2011-04-14 20:00,2011-04-19 18:00,buy,1471.95,1456.97,1498.28,1498.28,1.758,tp,57.0,3,0.00794,0.000,zone*
2011-04-27 20:00,2011-04-29 18:15,buy,1523.00,1505.90,1548.88,1548.88,1.513,tp,42.5,3,0.00799,0.000,zone*
2011-06-20 01:00,2011-06-23 15:15,buy,1539.63,1529.25,1563.43,1529.25,-1.000,sl,83.5,3,0.00626,0.000,zone*
2011-07-13 01:00,2011-07-18 01:00,buy,1568.14,1553.43,1595.18,1595.18,1.838,tp,69.2,3,0.00753,0.000,zone*
2011-07-25 08:00,2011-08-02 22:00,buy,1614.75,1600.85,1645.49,1645.49,2.211,tp,152.2,3,0.00781,0.000,zone*
2011-08-08 04:00,2011-08-08 21:15,buy,1686.32,1665.12,1719.89,1719.89,1.583,tp,17.5,3,0.00921,0.000,zone*
2011-08-30 16:00,2011-09-06 06:45,buy,1824.91,1786.78,1907.32,1907.32,2.161,tp,101.5,3,0.01890,0.000,zone
2011-11-03 20:00,2011-11-10 17:30,buy,1763.48,1735.59,1817.67,1735.59,-1.000,sl,111.5,3,0.01325,0.000,zone*
2011-11-30 16:00,2011-12-06 05:30,buy,1744.56,1715.05,1795.41,1715.05,-1.000,sl,81.8,3,0.01313,0.000,zone
2012-06-01 16:00,2012-06-01 20:30,buy,1581.65,1560.90,1622.54,1622.54,1.971,tp,4.8,3,0.01106,0.000,zone*
2012-09-21 16:00,2012-09-24 03:15,buy,1786.76,1768.50,1816.49,1768.50,-1.000,sl,10.5,3,0.00760,0.000,zone*
2012-10-31 16:00,2012-11-02 06:45,buy,1719.48,1708.62,1742.11,1708.62,-1.000,sl,35.0,3,0.00549,0.000,zone*
2012-11-09 01:00,2012-11-15 14:30,buy,1731.82,1717.18,1763.19,1717.18,-1.000,sl,105.8,3,0.00751,0.000,zone*
2013-05-30 20:00,2013-05-31 17:00,buy,1413.48,1393.51,1456.32,1393.51,-1.000,sl,20.2,3,0.01262,0.000,zone*
2013-06-03 20:00,2013-06-07 16:15,buy,1413.12,1387.64,1452.58,1387.64,-1.000,sl,88.5,3,0.01311,0.000,zone
2013-08-15 20:00,2013-08-23 18:30,buy,1358.52,1335.53,1398.10,1398.10,1.722,tp,136.8,3,0.01312,0.000,zone*
2013-08-23 20:00,2013-09-02 01:15,buy,1396.08,1375.72,1440.29,1375.72,-1.000,sl,119.5,3,0.01315,0.000,zone*
2013-10-17 12:00,2013-10-22 18:00,buy,1305.65,1282.52,1344.33,1344.33,1.672,tp,75.2,3,0.01350,0.000,zone*
2013-12-06 16:00,2013-12-06 21:30,buy,1237.62,1224.81,1266.27,1224.81,-1.000,sl,5.8,3,0.00948,0.000,zone*
2014-02-03 20:00,2014-02-11 03:00,buy,1259.63,1243.85,1282.70,1282.70,1.462,tp,121.2,3,0.00875,0.000,zone*
2014-03-06 20:00,2014-03-07 15:30,buy,1349.12,1336.84,1372.12,1336.84,-1.000,sl,18.8,3,0.00739,0.000,zone*
2014-03-17 01:00,2014-03-17 20:15,buy,1382.52,1366.30,1407.81,1366.30,-1.000,sl,19.5,3,0.00851,0.000,zone
2014-05-02 20:00,2014-05-12 01:45,buy,1298.59,1283.97,1321.54,1283.97,-1.000,sl,120.0,3,0.00820,0.000,zone*
2014-05-12 16:00,2014-05-16 15:30,buy,1300.82,1288.62,1327.35,1288.62,-1.000,sl,91.8,3,0.00842,0.000,zone*
2014-06-10 16:00,2014-06-16 04:00,buy,1261.32,1252.43,1279.92,1279.92,2.092,tp,80.2,3,0.00615,0.000,zone*
2014-07-10 16:00,2014-07-14 08:30,buy,1340.15,1327.75,1362.43,1327.75,-1.000,sl,38.8,3,0.00732,0.000,zone*
2014-10-09 01:00,2014-10-15 16:30,buy,1221.35,1208.60,1242.27,1242.27,1.641,tp,107.8,3,0.00780,0.000,zone
2014-12-30 20:00,2014-12-31 17:45,buy,1203.61,1182.94,1237.49,1182.94,-1.000,sl,21.0,3,0.01292,0.000,zone*
2015-01-16 20:00,2015-01-22 18:15,buy,1276.61,1262.31,1306.74,1306.74,2.107,tp,62.2,3,0.00986,0.000,zone*
2015-05-12 16:00,2015-05-14 13:15,buy,1195.34,1183.66,1219.56,1219.56,2.074,tp,43.5,3,0.00850,0.000,zone*
2015-06-29 04:00,2015-06-29 16:30,buy,1185.71,1175.18,1201.07,1175.18,-1.000,sl,12.8,3,0.00617,0.000,zone*
2015-08-10 20:00,2015-08-11 04:45,buy,1106.89,1094.17,1133.84,1094.17,-1.000,sl,8.0,3,0.01015,0.000,zone*
2015-08-19 20:00,2015-08-20 19:30,buy,1129.12,1117.49,1152.13,1152.13,1.979,tp,22.8,3,0.00868,0.000,zone
2015-08-21 08:00,2015-08-21 11:00,buy,1164.16,1152.08,1188.12,1152.08,-1.000,sl,3.2,3,0.00876,0.000,zone
2015-10-09 12:00,2015-10-14 16:00,buy,1153.97,1139.07,1176.73,1176.73,1.528,tp,73.2,3,0.00926,0.000,zone*
2015-10-23 16:00,2015-10-23 16:30,buy,1177.25,1165.43,1200.70,1165.43,-1.000,sl,0.8,3,0.00848,0.000,zone*
2015-12-16 16:00,2015-12-17 15:30,buy,1073.07,1060.80,1093.77,1060.80,-1.000,sl,22.8,3,0.00871,0.000,zone*
2016-02-24 16:00,2016-02-25 01:00,buy,1243.63,1226.44,1279.19,1226.44,-1.000,sl,8.2,3,0.01205,0.000,zone*
2016-04-05 12:00,2016-04-19 21:45,buy,1232.85,1215.55,1266.51,1251.89,1.101,time,240.0,3,0.01174,0.000,zone*
2016-05-06 16:00,2016-05-09 11:15,buy,1292.19,1278.09,1321.40,1278.09,-1.000,sl,18.5,3,0.00949,0.000,zone*
2016-06-13 16:00,2016-06-16 17:30,buy,1286.86,1274.07,1314.52,1314.52,2.163,tp,70.8,3,0.00889,0.000,zone
2016-08-01 01:00,2016-08-05 22:30,buy,1351.36,1335.32,1376.51,1335.32,-1.000,sl,113.8,3,0.00864,0.000,zone
2016-09-02 16:00,2016-09-06 20:15,buy,1324.82,1312.94,1349.42,1349.42,2.070,tp,46.2,3,0.00778,0.000,zone
2017-01-03 20:00,2017-01-05 18:30,buy,1162.20,1151.32,1184.14,1184.14,2.017,tp,44.8,3,0.00799,0.000,zone
2017-01-17 08:00,2017-01-18 22:15,buy,1212.02,1202.50,1230.72,1202.50,-1.000,sl,37.5,3,0.00657,0.000,zone*
