open,close,dir,entry,sl,tp,exit,r,why,hold_h
2016-02-18 19:00,2016-02-18 20:30,buy,1221.87,1217.03,1231.55,1231.55,2.000,tp,1.50
2016-02-19 02:45,2016-02-19 03:00,buy,1232.28,1228.02,1240.80,1228.02,-1.000,sl,0.25
2016-02-19 10:15,2016-02-19 11:15,buy,1225.93,1222.53,1232.73,1222.53,-1.000,sl,1.00
2016-02-19 16:30,2016-02-22 05:00,buy,1228.96,1221.08,1244.71,1221.08,-1.000,sl,11.50
2016-02-23 17:00,2016-02-24 12:30,buy,1223.67,1217.39,1236.22,1236.22,2.000,tp,18.50
2016-02-24 12:30,2016-02-24 16:00,buy,1235.28,1230.21,1245.42,1245.42,2.000,tp,3.50
2016-02-25 03:00,2016-02-25 16:00,buy,1234.30,1229.86,1243.19,1229.86,-1.000,sl,13.00
2016-02-25 16:30,2016-02-26 11:00,buy,1236.30,1228.83,1251.24,1228.83,-1.000,sl,17.50
2016-02-26 13:45,2016-02-26 15:30,buy,1236.00,1231.91,1244.17,1231.91,-1.000,sl,1.75
2016-02-29 20:15,2016-03-01 03:15,buy,1234.05,1230.07,1242.02,1242.02,2.000,tp,6.00
2016-03-01 03:15,2016-03-01 09:00,buy,1245.05,1241.35,1252.45,1241.35,-1.000,sl,5.75
2016-03-01 13:30,2016-03-01 16:00,buy,1245.31,1241.49,1252.96,1241.49,-1.000,sl,2.50
2016-03-02 20:15,2016-03-03 17:00,buy,1240.97,1236.24,1250.43,1250.43,2.000,tp,19.75
2016-03-03 17:00,2016-03-03 22:15,buy,1251.98,1246.49,1262.96,1262.96,2.000,tp,5.25
2016-03-04 04:00,2016-03-04 10:45,buy,1260.89,1257.04,1268.60,1268.60,2.000,tp,6.75
2016-03-04 10:45,2016-03-04 14:00,buy,1269.67,1265.93,1277.15,1265.93,-1.000,sl,3.25
2016-03-04 16:45,2016-03-04 17:45,buy,1276.47,1266.84,1295.74,1266.84,-1.000,sl,1.00
2016-03-07 01:15,2016-03-07 04:00,buy,1263.04,1256.99,1275.15,1256.99,-1.000,sl,2.75
2016-03-07 08:00,2016-03-07 13:00,buy,1263.41,1259.87,1270.50,1270.50,2.000,tp,5.00
2016-03-07 16:45,2016-03-07 19:30,buy,1268.97,1264.37,1278.17,1264.37,-1.000,sl,2.75
2016-03-08 01:30,2016-03-08 09:45,buy,1267.82,1264.46,1274.55,1274.55,2.000,tp,8.25
2016-03-08 09:45,2016-03-08 16:30,buy,1273.86,1270.58,1280.42,1270.58,-1.000,sl,6.75
2016-03-10 21:00,2016-03-10 22:00,buy,1273.07,1267.18,1284.85,1267.18,-1.000,sl,1.00
2016-03-11 07:30,2016-03-11 08:30,buy,1275.64,1271.74,1283.43,1271.74,-1.000,sl,1.00
2016-03-11 14:00,2016-03-11 14:30,buy,1267.63,1263.25,1276.39,1263.25,-1.000,sl,0.50
2016-03-18 02:30,2016-03-18 03:00,buy,1259.74,1257.50,1264.21,1264.21,2.000,tp,0.50
2016-03-18 08:30,2016-03-18 09:00,buy,1265.08,1262.86,1269.51,1262.86,-1.000,sl,0.50
2016-03-18 19:45,2016-03-21 03:15,buy,1255.69,1251.88,1263.30,1251.88,-1.000,sl,5.50
2016-04-08 01:15,2016-04-08 03:00,buy,1240.58,1237.93,1245.89,1237.93,-1.000,sl,1.75
2016-04-08 11:00,2016-04-08 13:00,buy,1235.73,1232.37,1242.45,1232.37,-1.000,sl,2.00
2016-04-08 18:00,2016-04-11 05:00,buy,1241.43,1236.56,1251.16,1251.16,2.000,tp,10.00
2016-04-11 05:00,2016-04-11 08:45,buy,1251.83,1248.47,1258.56,1248.47,-1.000,sl,3.75
2016-04-11 15:15,2016-04-12 11:00,buy,1252.42,1248.65,1259.96,1259.96,2.000,tp,18.75
2016-04-12 11:00,2016-04-12 13:15,buy,1259.66,1257.01,1264.95,1257.01,-1.000,sl,2.25
2016-04-12 18:30,2016-04-13 08:00,buy,1257.53,1251.49,1269.61,1251.49,-1.000,sl,12.50
2016-04-19 21:15,2016-04-20 02:45,buy,1252.67,1249.43,1259.15,1249.43,-1.000,sl,4.50
2016-04-20 04:15,2016-04-20 05:00,buy,1256.77,1253.98,1262.34,1253.98,-1.000,sl,0.75
2016-04-20 12:00,2016-04-20 22:00,buy,1249.60,1246.31,1256.19,1246.31,-1.000,sl,10.00
2016-04-21 05:30,2016-04-21 08:30,buy,1248.22,1245.75,1253.17,1253.17,2.000,tp,3.00
2016-04-21 11:30,2016-04-21 15:15,buy,1258.06,1253.18,1267.82,1267.82,2.000,tp,3.75
2016-04-27 15:45,2016-04-27 16:00,buy,1250.63,1248.05,1255.80,1248.05,-1.000,sl,0.25
2016-04-28 07:45,2016-04-28 15:30,buy,1250.13,1245.64,1259.10,1259.10,2.000,tp,7.75
2016-04-28 17:00,2016-04-28 19:00,buy,1256.92,1252.74,1265.29,1265.29,2.000,tp,2.00
2016-04-29 03:00,2016-04-29 04:15,buy,1266.37,1264.26,1270.58,1270.58,2.000,tp,1.25
2016-04-29 09:45,2016-04-29 16:30,buy,1274.47,1270.85,1281.72,1281.72,2.000,tp,6.75
2016-04-29 16:30,2016-04-29 18:15,buy,1283.17,1277.71,1294.10,1294.10,2.000,tp,1.75
2016-05-02 01:45,2016-05-02 12:30,buy,1292.38,1289.33,1298.49,1298.49,2.000,tp,10.75
2016-05-02 12:30,2016-05-02 15:30,buy,1298.85,1295.48,1305.60,1295.48,-1.000,sl,3.00
