month,trades,win_rate,pnl,return_pct,sum_r,max_dd_in_month_pct,end_equity
2022-01,15,46.7,-511.58,-0.53,0.97,0.87,96084.44
2022-02,31,64.5,1996.74,2.08,7.13,0.77,98081.19
2022-03,18,27.8,-786.43,-0.8,-4.4,1.87,97294.76
2022-04,16,43.8,-168.0,-0.17,1.66,0.89,97126.76
2022-05,12,41.7,983.13,1.01,5.1,0.7,98109.88
2022-06,9,33.3,-215.29,-0.22,-1.33,0.87,97894.59
2022-07,22,59.1,2234.25,2.28,9.62,1.02,100128.84
2022-08,11,27.3,-544.92,-0.54,-1.94,1.02,99583.92
2022-09,18,27.8,-873.89,-0.88,-7.49,1.94,98710.02
2022-10,12,41.7,1129.63,1.14,3.18,1.27,99839.66
2022-11,15,33.3,-240.47,-0.24,-0.92,0.98,99599.18
2022-12,12,25.0,-868.66,-0.87,-4.19,1.81,98730.53
2023-01,15,26.7,-1147.56,-1.16,-4.04,1.73,97582.97
2023-02,7,28.6,-136.06,-0.14,-0.5,1.0,97446.91
2023-03,24,41.7,687.48,0.71,2.71,1.19,98134.39
2023-04,15,13.3,-1405.6,-1.43,-10.08,1.51,96728.79
2023-05,16,37.5,391.4,0.4,0.16,0.85,97120.2
2023-06,10,10.0,-1165.51,-1.2,-6.84,1.31,95954.69
2023-07,6,0.0,-1033.42,-1.08,-6.19,1.08,94921.27
2023-08,5,20.0,-263.03,-0.28,-2.3,0.52,94658.23
2023-09,15,53.3,733.87,0.78,3.69,0.91,95392.1
2023-10,14,50.0,563.58,0.59,6.09,1.25,95955.68
2023-11,8,50.0,943.12,0.98,4.96,0.46,96898.8
2023-12,21,38.1,801.03,0.83,2.95,1.17,97699.83
2024-01,9,11.1,-1117.19,-1.14,-6.11,1.34,96582.63
2024-02,6,33.3,-213.47,-0.22,-0.89,0.67,96369.17
2024-03,12,58.3,1775.18,1.84,10.18,0.84,98144.35
2024-04,25,44.0,562.29,0.57,2.26,1.53,98706.64
2024-05,9,33.3,128.88,0.13,-0.17,1.06,98835.52
2024-06,19,42.1,446.0,0.45,1.26,1.19,99281.52
2024-07,13,30.8,443.84,0.45,-2.27,1.07,99725.36
2024-08,14,21.4,-1436.24,-1.44,-4.74,1.49,98289.12
2024-09,8,37.5,765.7,0.78,1.39,0.78,99054.82
2024-10,12,25.0,-150.35,-0.15,-2.41,1.32,98904.47
2024-11,18,44.4,1622.92,1.64,6.22,0.91,100527.39
2024-12,16,43.8,83.96,0.08,-0.4,0.52,100611.35
2025-01,13,23.1,-796.4,-0.79,-5.08,1.43,99814.96
2025-02,18,22.2,-685.69,-0.69,-2.79,1.62,99129.27
2025-03,15,60.0,1058.86,1.07,4.17,0.71,100188.12
2025-04,24,41.7,452.64,0.45,5.27,2.06,100640.76
2025-05,25,40.0,807.09,0.8,4.54,1.28,101447.85
2025-06,14,35.7,-1083.18,-1.07,-0.77,2.04,100364.67
2025-07,16,43.8,347.72,0.35,2.87,0.68,100712.39
2025-08,7,28.6,-309.73,-0.31,-2.17,1.39,100402.66
2025-09,8,62.5,1705.29,1.7,7.33,0.44,102107.95
2025-10,11,54.5,1438.36,1.41,5.43,1.48,103546.31
2025-11,13,30.8,-523.96,-0.51,-1.83,1.37,103022.35
2025-12,22,63.6,1519.1,1.47,9.82,0.99,104541.46
2026-01,22,40.9,1037.08,0.99,3.61,1.45,105578.54
