date,trades,pl_pct,state
2022-10-11,3,-1.099,stop
2022-10-12,4,-0.932,
2022-10-13,3,-1.326,stop
2022-10-14,3,-1.136,stop
2022-10-17,3,-1.493,stop
2022-10-18,3,-1.493,stop
2022-10-19,7,0.399,
2022-10-20,2,1.046,target
2022-10-21,5,-1.235,stop
2022-10-24,3,-1.040,stop
2022-10-25,5,-0.349,
2022-10-26,2,1.112,target
2022-10-27,7,-1.076,stop
2022-10-28,2,1.157,target
2022-10-31,6,0.238,
2022-11-01,2,1.076,target
2022-11-02,5,-1.030,stop
2022-11-03,3,-1.086,stop
2022-11-04,9,1.026,target
2022-11-07,3,-0.384,
2022-11-08,6,1.024,target
2022-11-09,3,-1.059,stop
2022-11-10,5,0.956,
2022-11-11,2,1.222,target
2022-11-14,5,-0.145,
2022-11-15,3,-0.406,
2022-11-16,4,-0.877,
2022-11-17,2,1.064,target
2022-11-18,3,-1.493,stop
2022-11-21,7,-1.376,stop
2022-11-22,4,-0.689,
2022-11-23,5,-1.248,stop
2022-11-24,5,-1.423,stop
2022-11-25,4,0.124,
2022-11-28,5,0.435,
2022-11-29,5,-1.085,stop
2022-11-30,5,-1.410,stop
2022-12-01,4,1.093,target
2022-12-02,4,0.207,
2022-12-05,2,1.200,target
2022-12-06,3,-1.182,stop
2022-12-07,3,-1.014,stop
2022-12-08,2,1.138,target
2022-12-09,6,0.167,
2022-12-12,2,1.117,target
2022-12-13,3,-1.080,stop
2022-12-14,5,-1.474,stop
2022-12-15,2,1.113,target
2022-12-16,3,-1.493,stop
2022-12-19,4,-0.604,
2022-12-20,6,0.415,
2022-12-21,2,1.147,target
2022-12-22,6,0.430,
2022-12-23,3,-1.131,stop
2022-12-27,2,1.110,target
2022-12-28,4,1.273,target
2022-12-29,5,-1.050,stop
2022-12-30,4,1.078,target
2023-01-03,3,-1.009,stop
2023-01-04,2,1.135,target
2023-01-05,6,0.410,
2023-01-06,5,-0.154,
2023-01-09,2,1.122,target
2023-01-10,3,-1.031,stop
2023-01-11,4,0.230,
2023-01-12,6,1.011,target
2023-01-13,7,-0.562,
2023-01-16,5,-0.288,
2023-01-17,4,-0.883,
2023-01-18,5,-0.287,
2023-01-19,7,-0.104,
2023-01-20,5,-1.147,stop
2023-01-23,5,-1.234,stop
2023-01-24,7,-0.686,
2023-01-25,3,-1.419,stop
2023-01-26,2,0.175,
2023-01-27,2,1.181,target
2023-01-30,3,-1.493,stop
2023-01-31,2,1.174,target
2023-02-01,4,1.164,target
2023-02-02,3,-1.261,stop
2023-02-03,3,-1.190,stop
2023-02-06,2,1.308,target
2023-02-07,3,-1.493,stop
2023-02-08,3,-0.060,
2023-02-09,3,-1.333,stop
2023-02-10,5,-1.294,stop
2023-02-13,5,-0.241,
2023-02-14,3,-0.480,
2023-02-15,4,1.086,target
2023-02-16,3,-1.008,stop
2023-02-17,2,1.218,target
2023-02-20,5,-1.114,stop
2023-02-21,4,-0.396,
2023-02-22,4,0.156,
2023-02-23,3,0.089,
2023-02-24,2,1.201,target
2023-02-27,3,-0.455,
2023-02-28,5,-0.121,
2023-03-01,6,-0.867,
2023-03-02,2,0.060,
2023-03-03,3,-1.356,stop
2023-03-06,2,1.141,target
2023-03-07,3,-1.118,stop
2023-03-08,3,-1.493,stop
2023-03-09,3,-1.190,stop
2023-03-10,7,-0.923,
2023-03-13,3,-1.108,stop
2023-03-14,3,-1.021,stop
2023-03-15,8,-0.655,
2023-03-16,3,-0.345,
2023-03-17,6,1.051,target
2023-03-20,2,1.290,target
2023-03-21,6,0.050,
2023-03-22,5,-0.231,
2023-03-23,5,-1.133,stop
2023-03-24,4,-0.149,
2023-03-27,7,-0.086,
2023-03-28,3,-1.493,stop
2023-03-29,5,-1.411,stop
2023-03-30,4,1.317,target
2023-03-31,5,-1.021,stop
2023-04-03,4,1.035,target
2023-04-04,3,0.820,
2023-04-05,3,-1.158,stop
2023-04-06,7,-1.127,stop
2023-04-10,6,-0.750,
2023-04-11,3,-1.018,stop
2023-04-12,2,1.010,target
2023-04-13,2,1.014,target
2023-04-14,3,-1.259,stop
2023-04-17,5,0.932,
2023-04-18,4,-0.893,
2023-04-19,6,1.085,target
2023-04-20,2,1.232,target
2023-04-21,2,1.209,target
2023-04-24,3,-1.182,stop
2023-04-25,7,-0.146,
2023-04-26,5,-1.415,stop
2023-04-27,3,-0.385,
2023-04-28,4,-0.982,
2023-05-01,7,-1.040,stop
2023-05-02,2,1.289,target
2023-05-03,3,-1.493,stop
2023-05-04,4,1.543,target
2023-05-05,2,1.152,target
2023-05-08,3,-1.493,stop
2023-05-09,6,0.324,
2023-05-10,4,-1.014,stop
2023-05-11,4,0.084,
2023-05-12,5,-0.284,
2023-05-15,5,-1.200,stop
2023-05-16,2,1.131,target
2023-05-17,4,1.267,target
2023-05-18,5,-1.452,stop
2023-05-19,5,-1.447,stop
2023-05-22,3,-0.701,
2023-05-23,3,-1.021,stop
2023-05-24,7,0.189,
2023-05-25,4,0.203,
2023-05-26,3,-1.024,stop
2023-05-29,5,-1.074,stop
2023-05-30,8,-0.502,
2023-05-31,4,1.344,target
2023-06-01,2,1.121,target
2023-06-02,6,1.145,target
2023-06-05,5,0.730,
2023-06-06,3,-1.493,stop
2023-06-07,4,1.099,target
2023-06-08,4,-0.459,
2023-06-09,3,-1.371,stop
2023-06-12,3,-1.252,stop
2023-06-13,5,0.328,
2023-06-14,2,-0.585,
2023-06-15,2,1.195,target
2023-06-16,6,-0.622,
2023-06-19,3,-1.122,stop
2023-06-20,2,1.087,target
2023-06-21,3,-1.493,stop
2023-06-22,5,-1.299,stop
2023-06-23,4,-1.030,stop
2023-06-26,5,-0.123,
2023-06-27,2,1.059,target
2023-06-28,5,-1.019,stop
2023-06-29,2,1.190,target
2023-06-30,3,-1.073,stop
2023-07-03,3,-1.174,stop
2023-07-04,3,-1.493,stop
2023-07-05,4,-1.007,stop
2023-07-06,4,0.145,
2023-07-07,3,-1.493,stop
2023-07-10,5,-1.004,stop
2023-07-11,3,1.245,target
2023-07-12,4,-1.099,stop
2023-07-13,3,0.037,
2023-07-14,2,1.108,target
2023-07-17,3,-0.475,
2023-07-18,3,-1.493,stop
2023-07-19,3,-1.493,stop
2023-07-20,6,0.185,
2023-07-21,2,1.098,target
2023-07-24,3,-1.493,stop
2023-07-25,3,-1.076,stop
2023-07-26,6,-0.935,
2023-07-27,8,-0.182,
2023-07-28,3,-1.493,stop
2023-07-31,3,-1.116,stop
2023-08-01,3,-1.493,stop
2023-08-02,5,-0.364,
2023-08-03,3,-1.493,stop
2023-08-04,3,-1.267,stop
2023-08-07,4,-0.951,
2023-08-08,6,-0.618,
2023-08-09,4,0.306,
2023-08-10,3,0.702,
2023-08-11,3,-1.493,stop
2023-08-14,2,1.064,target
2023-08-15,3,-1.083,stop
2023-08-16,3,-1.086,stop
2023-08-17,4,-0.856,
2023-08-18,3,-1.053,stop
2023-08-21,4,0.939,
2023-08-22,3,1.043,target
2023-08-23,6,-1.049,stop
2023-08-24,4,0.286,
2023-08-25,4,-0.409,
2023-08-28,4,-0.901,
2023-08-29,8,-0.095,
2023-08-30,4,0.100,
2023-08-31,5,0.134,
2023-09-01,4,0.501,
2023-09-04,4,-1.003,stop
2023-09-05,3,-1.343,stop
2023-09-06,5,0.373,
2023-09-07,3,-1.493,stop
2023-09-08,3,1.374,target
2023-09-11,3,1.104,target
2023-09-12,6,0.059,
2023-09-13,4,-0.092,
2023-09-14,4,-0.341,
2023-09-15,9,-0.708,
2023-09-18,6,0.344,
2023-09-19,5,-0.514,
2023-09-20,3,-1.118,stop
2023-09-21,2,1.092,target
2023-09-22,4,-1.004,stop
2023-09-25,3,-1.493,stop
2023-09-26,3,1.174,target
2023-09-27,4,1.117,target
2023-09-28,3,-0.351,
2023-09-29,3,-1.194,stop
2023-10-02,7,-0.399,
2023-10-03,2,1.078,target
2023-10-04,3,-1.394,stop
2023-10-05,5,-1.155,stop
2023-10-06,3,-1.493,stop
2023-10-09,3,-1.261,stop
2023-10-10,3,-0.150,
2023-10-11,4,1.226,target
2023-10-12,4,1.143,target
2023-10-13,6,1.360,target
2023-10-16,1,-0.500,
2023-10-17,3,-0.401,
2023-10-18,4,1.166,target
2023-10-19,2,1.058,target
2023-10-20,5,0.276,
2023-10-23,3,-1.493,stop
2023-10-24,3,0.746,
2023-10-25,4,-1.025,stop
2023-10-26,4,-0.897,
2023-10-27,3,-1.493,stop
2023-10-30,1,-0.500,
2023-10-31,4,1.116,target
2023-11-01,2,1.021,target
2023-11-02,3,-1.493,stop
2023-11-03,3,-1.493,stop
2023-11-06,7,-0.277,
2023-11-07,6,1.177,target
2023-11-08,7,-0.597,
2023-11-09,5,0.327,
2023-11-10,3,-1.493,stop
2023-11-13,5,-1.393,stop
2023-11-14,3,-1.031,stop
2023-11-15,5,-1.264,stop
2023-11-16,7,-0.243,
2023-11-17,4,1.113,target
2023-11-20,5,0.731,
2023-11-21,2,1.075,target
2023-11-22,2,1.129,target
2023-11-23,1,-0.500,
2023-11-24,4,-0.953,
2023-11-27,6,0.011,
2023-11-28,2,1.071,target
2023-11-29,2,1.112,target
2023-11-30,3,-1.154,stop
2023-12-01,4,1.465,target
2023-12-04,4,1.444,target
2023-12-05,5,-0.192,
2023-12-06,4,1.301,target
2023-12-07,3,-1.195,stop
2023-12-08,4,-0.401,
2023-12-11,2,1.108,target
2023-12-12,3,-0.050,
2023-12-13,5,0.416,
2023-12-14,5,-1.295,stop
2023-12-15,3,-1.014,stop
2023-12-18,2,-0.998,
2023-12-19,3,-1.257,stop
2023-12-20,2,1.084,target
2023-12-21,3,-1.188,stop
2023-12-22,2,1.167,target
2023-12-26,4,-0.314,
2023-12-27,3,-1.085,stop
2023-12-28,2,1.151,target
2023-12-29,4,-0.342,
2024-01-02,5,-1.007,stop
2024-01-03,5,0.928,
2024-01-04,3,-1.493,stop
2024-01-05,5,-1.142,stop
2024-01-08,2,1.198,target
2024-01-09,3,-1.051,stop
2024-01-10,5,-1.321,stop
2024-01-11,4,-0.934,
2024-01-12,5,-0.216,
2024-01-15,5,-1.101,stop
2024-01-16,5,-1.376,stop
2024-01-17,6,1.252,target
2024-01-18,3,-1.165,stop
2024-01-19,3,-1.038,stop
2024-01-22,5,-1.034,stop
2024-01-23,5,-1.095,stop
2024-01-24,4,0.600,
2024-01-25,2,0.096,
2024-01-26,2,-0.997,
2024-01-29,2,1.198,target
2024-01-30,3,-1.147,stop
2024-01-31,4,0.232,
2024-02-01,5,-0.205,
2024-02-02,3,-1.032,stop
2024-02-05,4,1.354,target
2024-02-06,4,0.242,
2024-02-07,3,-1.493,stop
2024-02-08,5,-1.045,stop
2024-02-09,3,0.711,
2024-02-12,4,0.139,
2024-02-13,8,-0.600,
2024-02-14,5,-1.059,stop
2024-02-15,6,-0.350,
2024-02-16,4,-0.356,
2024-02-19,5,-1.267,stop
2024-02-20,7,-1.057,stop
2024-02-21,2,1.054,target
2024-02-22,2,1.099,target
