open,close,dir,tag,r,why,hold_h
2023-11-17 23:45,2023-11-20 01:45,buy,trend,-1.000,sl,1.00
2023-11-20 01:45,2023-11-20 03:00,buy,trend,1.000,tp,1.25
2023-11-20 02:45,2023-11-20 04:30,buy,trend,1.000,tp,1.75
2023-11-20 03:45,2023-11-20 07:45,buy,trend,-0.113,time,4.00
2023-11-20 04:45,2023-11-20 08:45,buy,trend,-0.446,time,4.00
2023-11-20 05:45,2023-11-20 09:45,buy,trend,-0.612,time,4.00
2023-11-20 06:45,2023-11-20 10:45,buy,trend,-0.793,time,4.00
2023-11-20 07:45,2023-11-20 11:45,buy,trend,-0.279,time,4.00
2023-11-20 08:45,2023-11-20 12:30,buy,trend,-1.000,sl,3.75
2023-11-20 09:45,2023-11-20 13:30,buy,trend,-1.000,sl,3.75
2023-11-20 11:45,2023-11-20 13:30,buy,trend,-1.000,sl,1.75
2023-11-20 10:45,2023-11-20 14:00,buy,trend,-1.000,sl,3.25
2023-11-20 12:45,2023-11-20 15:15,buy,trend,-1.000,sl,2.50
2023-11-20 13:45,2023-11-20 15:30,buy,trend,-1.000,sl,1.75
2023-11-20 14:45,2023-11-20 15:30,buy,trend,-1.000,sl,0.75
2023-11-21 01:45,2023-11-21 03:15,buy,trend,1.000,tp,1.50
2023-11-21 02:45,2023-11-21 05:45,buy,trend,1.000,tp,3.00
2023-11-21 03:45,2023-11-21 07:45,buy,trend,0.206,time,4.00
2023-11-21 04:45,2023-11-21 08:45,buy,trend,-0.026,time,4.00
2023-11-21 05:45,2023-11-21 09:45,buy,trend,-0.165,time,4.00
2023-11-21 06:45,2023-11-21 10:45,buy,trend,-0.717,time,4.00
2023-11-21 09:45,2023-11-21 10:45,buy,trend,-1.000,sl,1.00
2023-11-21 07:45,2023-11-21 11:00,buy,trend,-1.000,sl,3.25
2023-11-21 08:45,2023-11-21 11:30,buy,trend,-1.000,sl,2.75
2023-11-21 10:45,2023-11-21 14:45,buy,trend,0.172,time,4.00
2023-11-21 11:45,2023-11-21 15:00,buy,trend,1.000,tp,3.25
2023-11-21 12:45,2023-11-21 15:15,buy,trend,1.000,tp,2.50
2023-11-21 13:45,2023-11-21 15:15,buy,trend,1.000,tp,1.50
2023-11-21 14:45,2023-11-21 15:15,buy,trend,1.000,tp,0.50
2023-11-21 15:45,2023-11-21 16:30,buy,trend,1.000,tp,0.75
2023-11-21 16:45,2023-11-21 20:30,buy,trend,-1.000,sl,3.75
2023-11-21 17:45,2023-11-21 21:00,buy,trend,-1.000,sl,3.25
2023-11-21 18:45,2023-11-21 22:45,buy,trend,-0.300,time,4.00
2023-11-21 19:45,2023-11-21 23:45,buy,trend,-0.468,time,4.00
2023-11-21 20:45,2023-11-22 01:45,buy,trend,0.059,time,4.00
2023-11-21 21:45,2023-11-22 02:45,buy,trend,-0.391,time,4.00
2023-11-21 22:45,2023-11-22 03:45,buy,trend,-0.409,time,4.00
2023-11-21 23:45,2023-11-22 04:45,buy,trend,-0.249,time,4.00
2023-11-22 01:45,2023-11-22 05:45,buy,trend,-0.452,time,4.00
2023-11-22 02:45,2023-11-22 06:45,buy,trend,0.253,time,4.00
2023-11-22 03:45,2023-11-22 07:45,buy,trend,0.378,time,4.00
2023-11-22 04:45,2023-11-22 08:45,buy,trend,0.626,time,4.00
2023-11-22 05:45,2023-11-22 09:15,buy,trend,1.000,tp,3.50
2023-11-22 07:45,2023-11-22 09:45,buy,trend,1.000,tp,2.00
2023-11-22 06:45,2023-11-22 10:00,buy,trend,1.000,tp,3.25
2023-11-22 08:45,2023-11-22 10:00,buy,trend,1.000,tp,1.25
2023-11-22 09:45,2023-11-22 10:30,buy,trend,-1.000,sl,0.75
2023-11-22 10:45,2023-11-22 14:45,buy,trend,0.414,time,4.00
2023-11-22 11:45,2023-11-22 15:30,buy,trend,-1.000,sl,3.75
2023-11-22 14:45,2023-11-22 15:30,buy,trend,-1.000,sl,0.75
2023-11-22 12:45,2023-11-22 16:45,buy,trend,0.088,time,4.00
