open,close,dir,entry,sl,tp,exit,r,why,hold_h
2022-03-04 16:00,2022-03-04 17:00,buy,1948.62,1948.96,1968.78,1948.96,0.050,sl,1.00
2022-03-04 22:15,2022-03-07 01:00,buy,1969.27,1963.22,1987.42,1987.42,3.000,tp,1.75
2022-03-07 16:45,2022-03-08 16:45,buy,1984.64,1985.50,2036.25,2036.25,3.000,tp,23.00
2022-03-08 16:45,2022-03-08 19:15,buy,2039.74,2040.51,2085.82,2040.51,0.050,sl,2.50
2022-03-08 22:45,2022-03-09 11:00,buy,2051.02,2030.77,2111.76,2030.77,-1.000,sl,11.25
2022-04-11 23:45,2022-04-12 03:30,buy,1954.93,1950.85,1967.17,1950.85,-1.000,sl,2.75
2022-04-12 15:00,2022-04-12 17:45,buy,1959.49,1959.75,1974.97,1974.97,3.000,tp,2.75
2022-04-12 22:00,2022-04-13 03:15,buy,1969.42,1963.40,1987.50,1963.40,-1.000,sl,4.25
2022-04-13 15:00,2022-04-13 15:15,buy,1980.48,1975.56,1995.24,1975.56,-1.000,sl,0.25
2022-04-13 22:45,2022-04-14 03:30,buy,1978.21,1974.11,1990.53,1974.11,-1.000,sl,3.75
2022-04-14 23:45,2022-04-18 02:30,buy,1973.31,1973.49,1983.75,1983.75,3.000,tp,1.75
2022-04-18 15:00,2022-04-18 15:45,buy,1993.81,1993.99,2004.19,1993.99,0.050,sl,0.75
2022-05-18 16:45,2022-05-18 18:15,sell,1810.36,1817.46,1789.06,1817.46,-1.000,sl,1.50
2022-06-15 18:30,2022-06-15 21:30,sell,1820.04,1828.05,1795.98,1828.05,-1.000,sl,3.00
2022-07-01 15:15,2022-07-01 16:00,sell,1786.24,1792.12,1768.59,1792.12,-1.000,sl,0.75
2022-07-05 16:00,2022-07-05 17:00,sell,1794.25,1793.94,1775.90,1775.90,3.000,tp,1.00
2022-07-06 15:15,2022-07-06 15:45,sell,1760.08,1765.22,1744.66,1765.22,-1.000,sl,0.50
2022-07-06 22:45,2022-07-07 06:00,sell,1739.32,1744.58,1723.54,1744.58,-1.000,sl,6.25
2022-07-07 15:15,2022-07-07 16:30,sell,1741.26,1746.02,1726.98,1746.02,-1.000,sl,1.25
2022-07-07 21:45,2022-07-08 03:15,sell,1739.74,1742.62,1731.11,1742.62,-1.000,sl,4.50
2022-07-08 15:30,2022-07-08 16:15,sell,1736.57,1742.85,1717.73,1742.85,-1.000,sl,0.75
2022-07-11 19:00,2022-07-12 04:30,sell,1736.91,1736.62,1719.62,1736.62,0.050,sl,8.50
2022-07-12 16:15,2022-07-13 12:00,sell,1729.37,1729.08,1711.90,1729.08,0.050,sl,18.75
2022-07-13 17:00,2022-07-13 17:30,sell,1723.09,1732.49,1694.90,1732.49,-1.000,sl,0.50
2022-07-14 18:15,2022-07-15 05:00,sell,1704.82,1715.29,1673.43,1715.29,-1.000,sl,9.75
2022-07-15 15:15,2022-07-15 15:30,sell,1704.38,1708.19,1692.97,1708.19,-1.000,sl,0.25
2022-07-15 22:30,2022-07-15 23:45,sell,1704.48,1706.62,1698.07,1706.62,-1.000,sl,1.25
2022-07-18 20:30,2022-07-19 08:30,sell,1711.01,1710.79,1697.60,1710.79,0.050,sl,11.00
2022-07-19 20:45,2022-07-20 12:30,sell,1710.84,1710.67,1700.60,1710.67,0.050,sl,14.75
2022-07-20 16:45,2022-07-20 23:00,sell,1709.40,1709.14,1693.32,1693.32,3.000,tp,6.25
2022-07-20 23:00,2022-07-21 12:00,sell,1695.06,1694.86,1682.64,1682.64,3.000,tp,12.00
2022-08-23 15:00,2022-08-23 15:45,sell,1735.97,1735.76,1723.27,1735.76,0.050,sl,0.75
2022-08-30 16:30,2022-08-31 11:15,sell,1730.28,1730.06,1716.88,1716.88,3.000,tp,17.75
2022-08-31 15:00,2022-08-31 16:45,sell,1712.72,1717.33,1698.89,1717.33,-1.000,sl,1.75
2022-08-31 21:15,2022-09-01 13:30,sell,1712.11,1711.92,1700.29,1700.29,3.000,tp,15.25
2022-09-01 15:00,2022-09-01 15:45,sell,1700.10,1699.88,1686.66,1699.88,0.050,sl,0.75
2022-09-01 21:00,2022-09-02 09:00,sell,1696.23,1701.80,1679.55,1701.80,-1.000,sl,11.00
2022-09-07 15:30,2022-09-07 16:45,sell,1700.03,1704.11,1687.80,1704.11,-1.000,sl,1.25
2022-09-14 19:45,2022-09-15 07:45,sell,1701.17,1700.96,1688.14,1688.14,3.000,tp,11.00
2022-09-15 16:00,2022-09-15 16:45,sell,1686.20,1685.92,1669.23,1685.92,0.050,sl,0.75
2022-09-15 22:15,2022-09-16 04:00,sell,1662.06,1666.82,1647.76,1666.82,-1.000,sl,4.75
2022-09-16 15:30,2022-09-16 17:00,sell,1662.25,1668.12,1644.62,1668.12,-1.000,sl,1.50
2022-09-19 16:15,2022-09-19 16:45,sell,1662.97,1667.85,1648.33,1667.85,-1.000,sl,0.50
2022-09-20 15:15,2022-09-20 16:45,sell,1666.02,1665.80,1653.25,1665.80,0.050,sl,1.50
2022-09-20 21:30,2022-09-21 09:00,sell,1663.88,1667.58,1652.76,1667.58,-1.000,sl,10.50
2022-09-21 19:30,2022-09-21 20:45,sell,1666.00,1670.16,1653.51,1670.16,-1.000,sl,1.25
2022-09-23 20:30,2022-09-26 04:00,sell,1643.93,1643.64,1626.73,1643.64,0.050,sl,6.50
2022-09-26 18:15,2022-09-27 10:00,sell,1638.66,1638.30,1616.94,1638.30,0.050,sl,14.75
2022-09-27 19:00,2022-09-28 13:15,sell,1630.76,1630.34,1605.88,1630.34,0.050,sl,17.25
2022-10-12 15:00,2022-10-12 15:45,sell,1667.87,1672.19,1654.90,1672.19,-1.000,sl,0.75
2022-10-13 16:15,2022-10-13 18:15,sell,1648.08,1659.25,1614.57,1659.25,-1.000,sl,2.00
