open,close,dir,entry,sl,tp,exit,r,reason,hold_h,level,sigma,lambda
2015-08-10 20:00,2015-08-11 04:45,buy,1106.89,1094.17,1133.84,1094.17,-1.000,sl,8.0,3,0.01015,0.000
2015-08-12 20:00,2015-08-20 17:30,buy,1124.10,1108.75,1150.94,1150.94,1.748,tp,135.8,3,0.01066,0.000
2015-08-21 08:00,2015-08-21 11:00,buy,1164.16,1152.08,1188.12,1152.08,-1.000,sl,3.2,3,0.00876,0.000
2015-09-01 16:00,2015-09-02 17:30,buy,1145.94,1134.71,1172.02,1134.71,-1.000,sl,24.8,3,0.00921,0.000
2015-09-18 01:00,2015-09-24 16:45,buy,1132.59,1119.15,1154.13,1154.13,1.603,tp,108.0,3,0.00876,0.000
2015-10-07 01:00,2015-10-14 04:45,buy,1147.22,1135.43,1174.05,1174.05,2.276,tp,119.0,3,0.00953,0.000
2015-10-23 16:00,2015-10-23 16:30,buy,1177.25,1165.43,1200.70,1165.43,-1.000,sl,0.8,3,0.00848,0.000
2015-10-28 16:00,2015-10-28 20:00,buy,1180.84,1166.50,1201.66,1166.50,-1.000,sl,4.2,3,0.00844,0.000
2015-12-16 16:00,2015-12-17 15:30,buy,1073.07,1060.80,1093.77,1060.80,-1.000,sl,22.8,3,0.00871,0.000
2016-01-25 16:00,2016-01-27 21:45,buy,1106.69,1097.78,1126.82,1126.82,2.259,tp,52.0,3,0.00741,0.000
2016-02-01 20:00,2016-02-04 11:00,buy,1127.07,1117.99,1147.25,1147.25,2.222,tp,60.2,3,0.00733,0.000
2016-02-04 16:00,2016-02-05 22:45,buy,1153.02,1142.34,1173.20,1173.20,1.889,tp,30.0,3,0.00757,0.000
2016-02-18 20:00,2016-02-22 10:00,buy,1227.23,1208.31,1257.37,1208.31,-1.000,sl,36.2,3,0.01137,0.000
2016-02-24 01:00,2016-03-03 18:30,buy,1226.69,1208.42,1259.46,1259.46,1.793,tp,155.8,3,0.01183,0.000
