open,close,dir,entry,sl,tp,exit,r,reason,hold_min
2025-08-05 02:15,2025-08-05 02:30,buy,3378.97,3376.94,3381.39,3376.94,-1.000,sl,30
2025-08-05 09:45,2025-08-05 10:00,sell,3366.22,3369.03,3362.63,3369.03,-1.000,sl,30
2025-08-05 12:15,2025-08-05 12:45,sell,3365.02,3368.80,3359.97,3359.97,1.335,tp,45
2025-08-05 13:15,2025-08-05 14:30,sell,3356.48,3360.48,3351.10,3351.10,1.344,tp,90
2025-08-05 17:45,2025-08-05 19:30,buy,3384.51,3378.57,3392.79,3378.57,-1.000,sl,120
2025-08-06 02:30,2025-08-06 03:15,buy,3382.04,3380.23,3384.14,3384.14,1.155,tp,60
2025-08-06 08:00,2025-08-06 09:00,sell,3372.17,3375.28,3368.13,3375.28,-1.000,sl,75
2025-08-06 10:30,2025-08-06 10:30,sell,3370.02,3373.05,3366.09,3373.05,-1.000,sl,15
2025-08-06 11:30,2025-08-06 12:45,sell,3366.46,3370.34,3361.26,3361.26,1.339,tp,90
2025-08-06 23:30,2025-08-06 23:45,sell,3368.53,3371.35,3364.93,3368.40,0.046,eod,30
2025-08-07 04:30,2025-08-07 05:00,buy,3378.28,3374.58,3383.21,3383.21,1.331,tp,45
2025-08-07 09:45,2025-08-07 10:00,buy,3385.40,3381.67,3390.38,3387.92,0.675,lock_target,30
2025-08-08 06:45,2025-08-08 08:30,buy,3396.00,3390.64,3403.41,3390.64,-1.000,sl,120
2025-08-08 11:00,2025-08-08 11:45,buy,3401.97,3396.78,3409.12,3396.78,-1.000,sl,60
2025-08-08 17:30,2025-08-08 17:30,sell,3383.03,3390.90,3371.85,3386.83,-0.483,lock_stop,15
2025-08-11 03:45,2025-08-11 04:00,sell,3383.41,3387.81,3377.43,3377.43,1.358,tp,30
2025-08-11 09:15,2025-08-11 09:15,sell,3373.17,3376.78,3368.39,3368.39,1.327,tp,15
2025-08-12 09:15,2025-08-12 09:15,sell,3348.28,3351.84,3343.57,3343.57,1.324,tp,15
2025-08-12 14:15,2025-08-12 14:30,sell,3343.46,3347.61,3337.86,3337.86,1.349,tp,30
2025-08-13 01:30,2025-08-13 03:00,buy,3352.07,3349.57,3355.20,3349.57,-1.000,sl,105
2025-08-13 04:00,2025-08-13 04:00,sell,3343.30,3345.89,3340.03,3345.89,-1.000,sl,15
2025-08-13 05:45,2025-08-13 05:45,buy,3353.15,3349.27,3358.34,3351.80,-0.348,lock_stop,15
2025-08-14 02:15,2025-08-14 02:30,buy,3360.42,3358.25,3363.05,3363.05,1.212,tp,30
2025-08-14 03:15,2025-08-14 03:15,buy,3368.19,3365.78,3371.18,3371.18,1.241,tp,15
2025-08-15 01:30,2025-08-15 02:30,sell,3333.76,3336.05,3330.95,3336.05,-1.000,sl,75
2025-08-15 13:30,2025-08-15 14:30,sell,3337.89,3342.11,3332.19,3342.11,-1.000,sl,75
2025-08-15 20:15,2025-08-15 20:15,sell,3335.49,3339.07,3330.74,3336.50,-0.282,lock_stop,15
2025-08-18 01:15,2025-08-18 01:15,sell,3333.15,3335.14,3330.79,3335.14,-1.000,sl,15
2025-08-18 02:15,2025-08-18 02:15,sell,3330.00,3332.20,3327.32,3327.32,1.216,tp,15
2025-08-18 05:00,2025-08-18 05:15,buy,3347.11,3342.79,3352.97,3342.79,-1.000,sl,30
2025-08-18 06:45,2025-08-18 07:30,buy,3348.50,3344.88,3353.30,3353.30,1.327,tp,60
2025-08-18 08:00,2025-08-18 08:15,buy,3357.78,3354.40,3362.23,3354.40,-1.000,sl,30
2025-08-18 17:00,2025-08-18 19:00,sell,3336.56,3339.92,3332.14,3332.14,1.314,tp,135
2025-08-18 22:15,2025-08-18 22:45,sell,3330.97,3333.29,3328.11,3333.29,-1.000,sl,45
2025-08-19 02:30,2025-08-19 03:00,sell,3332.00,3333.70,3330.08,3333.70,-1.000,sl,45
2025-08-19 13:15,2025-08-19 14:30,buy,3343.03,3340.05,3346.88,3340.05,-1.000,sl,90
2025-08-19 18:00,2025-08-19 19:45,sell,3325.03,3330.27,3317.79,3317.79,1.381,tp,120
2025-08-19 20:30,2025-08-19 20:30,sell,3315.28,3319.81,3309.10,3319.81,-1.000,sl,15
2025-08-19 23:15,2025-08-19 23:15,sell,3315.24,3317.66,3312.23,3316.69,-0.599,lock_stop,15
2025-08-20 03:00,2025-08-20 03:00,sell,3314.00,3315.84,3311.87,3315.84,-1.000,sl,15
2025-08-20 04:30,2025-08-20 04:30,sell,3311.80,3314.36,3308.59,3314.36,-1.000,sl,15
2025-08-20 14:15,2025-08-20 14:30,buy,3329.20,3326.61,3332.46,3328.98,-0.085,lock_stop,30
2025-08-21 01:15,2025-08-21 01:15,buy,3351.19,3349.03,3353.81,3349.03,-1.000,sl,15
2025-08-21 09:30,2025-08-21 09:30,sell,3334.31,3336.57,3331.55,3336.57,-1.000,sl,15
2025-08-21 13:45,2025-08-21 14:00,sell,3330.27,3333.48,3326.09,3326.09,1.305,tp,30
2025-08-22 03:15,2025-08-22 03:15,sell,3336.21,3337.88,3334.33,3337.88,-1.000,sl,15
2025-08-22 05:00,2025-08-22 05:00,sell,3333.85,3336.16,3331.00,3336.16,-1.000,sl,15
2025-08-22 06:15,2025-08-22 06:15,sell,3332.16,3334.82,3328.80,3333.67,-0.569,lock_stop,15
2025-08-25 06:45,2025-08-25 07:00,buy,3367.69,3365.10,3370.96,3365.10,-1.000,sl,30
2025-08-25 09:15,2025-08-25 11:00,buy,3367.95,3365.75,3370.63,3365.75,-1.000,sl,120
2025-08-25 14:45,2025-08-25 15:00,buy,3370.01,3367.59,3373.02,3368.61,-0.579,lock_stop,30
